"","id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_id","imdb_score","imdb_votes"
"3234","tm936519","Soulmate","MOVIE","A romantic film presenting a love story that is both sweet and bitter. Can love be found amidst clashes and troubles?",2020,"",106,"['romance']","['EG']",NA,"",NA,NA
"3235","tm834653","The Knight and the Princess","MOVIE","An unwavering young warrior's determination to save women and children abducted by pirates, leads him to his sweetheart and to confront a brutal tyrant and his devious sorcerer.",2019,"PG",97,"['comedy', 'family', 'fantasy', 'history', 'animation']","['EG', 'SA']",NA,"tt13819560",5.9,375
"3236","tm472961","After Maria","MOVIE","Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.",2019,"",36,"['documentation']","['US']",NA,"",NA,NA
"3237","tm852207","3 Logical Exits","MOVIE","A sociological meditation on the different ""exits"" that young Palestinians choose, in order to cope with life in the refugee camps.",2020,"",15,"['documentation']","['LB', 'GB', 'DK']",NA,"",NA,NA
"3238","tm820338","The 9th Precinct","MOVIE","An idealistic cop joins an underground police unit and battles ghoulish forces threatening the balance between the human and the supernatural realms.",2019,"",94,"['fantasy', 'thriller', 'action', 'crime', 'drama']","['TW']",NA,"tt10871460",5.6,521
"3239","tm679270","Evvarikee Cheppoddu","MOVIE","Hari and Harathi are in love, but Harathi's father won't agree to their relationship because of their caste differences.",2019,"",133,"['drama']","['IN']",NA,"tt10081202",7.2,404
"3240","tm844201","Super Monsters Save Christmas","MOVIE","On Christmas Eve, the Super Monsters get together to make decorations, but end up having to find Santa's missing reindeer in order to save their holiday.",2019,"G",24,"['animation', 'fantasy', 'family']","['US']",NA,"tt11193860",4.8,57
"3241","tm882222","Kalek Shanab","MOVIE","Three young men wake up from sleep, all three discover that they are in strange places and unfamiliar to them, and try to find out what happened in the past hours.",2019,"PG-13",80,"['comedy']","['AE']",NA,"",NA,NA
"3242","tm840152","Amsterdam to Anatolia","MOVIE","",2019,"",6,"['thriller']","['NL', 'PS', 'US', 'LB']",NA,"",NA,NA
"3243","tm1113921","In Vitro","MOVIE","'In Vitro' is an otherworldly rumination on memory, history, place and identity set in Bethlehem decades after an eco-disaster.",2019,"",27,"[]","[]",NA,"tt10545994",7.7,NA
"3244","tm475254","Sincerely Yours, Dhaka","MOVIE","In this omnibus, 11 Bangladeshi filmmakers create a love letter to the city of Dhaka. From young girls looking for a drink in a dry town to a bank scammer's attempted murder to a plumber creating a refugee crisis, the city co-stars every time.",2019,"",134,"['drama']","['BD']",NA,"tt8958304",6.9,653
"3245","tm1030742","One Like It","MOVIE","This short film follows a day in the life of a young woman in Egypt and how her interactions with others expose long-standing stereotypes and biases.",2020,"",14,"[]","[]",NA,"",NA,NA
"3246","tm1031016","Marked","MOVIE","This documentary explores Nigeria's cultural practice of marking, including its origins and meaning as a symbol of identity, beauty and spirituality.",2019,"",20,"['documentation']","['NG']",NA,"tt10519534",NA,NA
"3247","tm878495","Kambili: The Whole 30 Yards","MOVIE","Kambili Maduka, is an irresponsible, spoiled, spendthrift 28-year-old woman who is turning 29 in a few days. The only thing on her mind is to get married before she turns 30. However, after getting suspended from work due to her incessant lateness, she goes on a date with her boyfriend and he breaks up with her, dashing her hopes of getting married before 30. She decides that what she needs to do is prove to her boyfriend that she can be everything he wants her to be which is; responsible, driven, focused and wife material.",2020,"",119,"['romance', 'comedy']","[]",NA,"tt11831084",6.6,37
"3248","tm478962","Saavat","MOVIE","The journey of a woman who overcomes her personal anguish to help deliver justice to another woman trapped in a web of deceit and deception.",2019,"",117,"['thriller', 'crime', 'drama']","['IN']",NA,"tt7798984",6.6,166
"3249","tm916008","PNL - Dans la légende tour","MOVIE","Live recording of French rapper PNL playing songs from their album ""Dans la légende"" and more at the Bercy Arena in Paris.",2020,"",18,"['documentation', 'music']","['FR']",NA,"",NA,NA
"3250","tm476593","Krutant","MOVIE","When a busy workaholic leaves town to meet friends, an unexpected delay leads him to the hut of an old man, whose haunting tale could change his life.",2019,"",116,"['drama', 'thriller']","['IN']",NA,"tt9575388",6.4,104
