"","person_id","id","name","character","role"
"66",11487,"tm70993","Andrew MacLachlan","Another Official Stoners Helper / Giggling Guard","ACTOR"
"67",11486,"tm70993","Bernard McKenna","Parvus / Official Stoners Helper / Giggling Guard","ACTOR"
"68",73106,"tm70993","Spike Milligan","Spike","ACTOR"
"69",11488,"tm70993","George Harrison","Mr. Papadopolous (uncredited)","ACTOR"
"70",11475,"tm70993","Terry Jones","","DIRECTOR"
"71",1700,"tm190788","Ellen Burstyn","Chris MacNeil","ACTOR"
"72",14440,"tm190788","Linda Blair","Regan Teresa MacNeil","ACTOR"
"73",3288,"tm190788","Max von Sydow","Father Lankester Merrin","ACTOR"
"74",8032,"tm190788","Lee J. Cobb","Lt. William F. Kinderman","ACTOR"
"75",14442,"tm190788","Kitty Winn","Sharon Spencer","ACTOR"
"76",14444,"tm190788","Jack MacGowran","Burke Dennings","ACTOR"
"77",14441,"tm190788","Jason Miller","Father Damien Karras","ACTOR"
"78",14443,"tm190788","William O'Malley","Father Joseph Dyer","ACTOR"
"79",14445,"tm190788","Barton Heyman","Dr. Samuel Klein","ACTOR"
"80",14446,"tm190788","Peter Masterson","Dr. Barringer","ACTOR"
"81",14447,"tm190788","Rudolf Schündler","Karl","ACTOR"
"82",520251,"tm190788","Gina Petrushka","Willi","ACTOR"
"83",14448,"tm190788","Robert Symonds","Dr. Taney","ACTOR"
"84",518372,"tm190788","Arthur Storch","Psychiatrist","ACTOR"
"85",450171,"tm190788","Thomas Bermingham","Tom","ACTOR"
"86",1022050,"tm190788","Vasiliki Maliaros","Mary Karras","ACTOR"
"87",14449,"tm190788","Titos Vandis","Uncle John","ACTOR"
"88",14622,"tm190788","John Mahon","Language Lab Director","ACTOR"
"89",525566,"tm190788","Wallace Rooney","Bishop Michael","ACTOR"
"90",50859,"tm190788","Ron Faber","Chuck / Demon (voice)","ACTOR"
"91",7101,"tm190788","Donna Mitchell","Mary Jo Perrin","ACTOR"
"92",49762,"tm190788","Roy Cooper","Jesuit Dean","ACTOR"
"93",176,"tm190788","Robert Gerringer","Senator at Party","ACTOR"
"94",14450,"tm190788","Mercedes McCambridge","Demon (voice)","ACTOR"
"95",1171700,"tm190788","Paul Bateson","Radiologist's Assistant (uncredited)","ACTOR"
"96",1171801,"tm190788","Elinore Blair","Nurse (uncredited)","ACTOR"
"97",14452,"tm190788","William Peter Blatty","The Producer (uncredited)","ACTOR"
"98",82422,"tm190788","Mary Boylan","First Mental Patient (uncredited)","ACTOR"
"99",554384,"tm190788","Mason Curry","Doctor (voice) (uncredited)","ACTOR"
"100",920339,"tm190788","Toni Darnay","Violent psychotic patient (uncredited)","ACTOR"
"101",14451,"tm190788","Eileen Dietz","Demon / Regan Double (uncredited)","ACTOR"
"102",1171714,"tm190788","Joanne Dusseau","Senator's Wife (uncredited)","ACTOR"
"103",1031264,"tm190788","Bernard Eismann","Minor Role (uncredited)","ACTOR"
"104",1171814,"tm190788","Beatrice Hunter","Minor Role (uncredited)","ACTOR"
"105",897392,"tm190788","Yvonne Jones","Bellevue Nurse (uncredited)","ACTOR"
"106",1171936,"tm190788","Don LaBonte","Minor Role (uncredited)","ACTOR"
"107",1171750,"tm190788","Barton Lane","Angiography Doctor (uncredited)","ACTOR"
"108",1171752,"tm190788","Ann Miles","Spiderwalk (uncredited)","ACTOR"
"109",1171860,"tm190788","John Nicola","Priest (uncredited)","ACTOR"
"110",1171760,"tm190788","Vincent Russell","Subway Vagrant (uncredited)","ACTOR"
"111",1171764,"tm190788","Gerard F. Yates","Priest Singing Around Piano at Party (uncredited)","ACTOR"
"112",14255,"tm190788","William Friedkin","","DIRECTOR"
"113",6050,"tm14873","Clint Eastwood","Harry","ACTOR"
